sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,771,23976.228,215.076,24650.981,310.058,161285,18485672,232511
Dosis III,259,49862.544,131.245,17221.587,263.011,98420,12914399,197231
Eukrasian Dosis III (dot),241,11352.701,27.317,3648.507,57.76,20485,2736001,43314
Phlegma III,20,79957.0,16.002,2132.482,117.235,12000,1599140,87914
Psyche,13,79511.846,10.401,1378.396,93.982,7800,1033654,70477
Toxikon II,3,49391.0,1.52,197.591,28.029,1140,148173,21019
Pneuma,1,49391.0,0.507,65.864,16.182,380,49391,12135
Auto,234,21.0,28.084,6.553,0.101,21060,4914,76
