sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,771,24235.634,215.076,24917.687,313.966,161285,18685674,235442
Dosis III,259,50226.286,131.245,17347.216,265.014,98420,13008608,198733
Eukrasian Dosis III (dot),241,11489.44,27.317,3692.452,58.484,20485,2768955,43857
Phlegma III,20,82183.05,16.002,2191.852,120.575,12000,1643661,90419
Psyche,13,81686.692,10.401,1416.099,96.624,7800,1061927,72458
Toxikon II,3,49391.0,1.52,197.591,28.029,1140,148173,21019
Pneuma,1,49391.0,0.507,65.864,16.182,380,49391,12135
Auto,234,21.192,28.084,6.613,0.103,21060,4959,77
