sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Apex Arrow,Blast Arrow,Burst Shot,Caustic Bite,Caustic Bite (dot),Empyreal Arrow,Heartbreak Shot,Iron Jaws,Pitch Perfect,Radiant Encore,Refulgent Arrow,Resonant Arrow,Shot,Sidewinder,Stormbite,Stormbite (dot)
644339,645809,Refulgent Arrow,8708.0,1144428,1146415,4532508,18696,658884,1541251,1985019,241135,1613758,1298285,3256718,805120,2018055,752377,12331,826697
644339,645809,Burst Shot,20581.0,1144428,1146415,4553089,18696,658884,1541251,1985019,241135,1613758,1298285,3256718,805120,2018055,752377,12331,826697
629399,646500,Caustic Bite (dot),2493.0,1144428,1146415,4553089,18696,661377,1541251,1985019,241135,1613758,1298285,3256718,805120,2018055,752377,12331,826697
629399,646500,Stormbite (dot),3118.0,1144428,1146415,4553089,18696,661377,1541251,1985019,241135,1613758,1298285,3256718,805120,2018055,752377,12331,829815
644959,646609,Heartbreak Shot,760.0,1144428,1146415,4553089,18696,661377,1541251,1985779,241135,1613758,1298285,3256718,805120,2018055,752377,12331,829815
645609,647259,Heartbreak Shot,10494.0,1144428,1146415,4553089,18696,661377,1541251,1996273,241135,1613758,1298285,3256718,805120,2018055,752377,12331,829815
647520,648278,Shot,8399.0,1144428,1146415,4553089,18696,661377,1541251,1996273,241135,1613758,1298285,3256718,805120,2026454,752377,12331,829815
646829,648299,Burst Shot,20153.0,1144428,1146415,4573242,18696,661377,1541251,1996273,241135,1613758,1298285,3256718,805120,2026454,752377,12331,829815
646829,648299,Refulgent Arrow,9228.0,1144428,1146415,4573242,18696,661377,1541251,1996273,241135,1613758,1298285,3265946,805120,2026454,752377,12331,829815
647569,648599,Empyreal Arrow,32390.0,1144428,1146415,4573242,18696,661377,1573641,1996273,241135,1613758,1298285,3265946,805120,2026454,752377,12331,829815
629399,649500,Stormbite (dot),3118.0,1144428,1146415,4573242,18696,661377,1573641,1996273,241135,1613758,1298285,3265946,805120,2026454,752377,12331,832933
629399,649500,Caustic Bite (dot),2493.0,1144428,1146415,4573242,18696,663870,1573641,1996273,241135,1613758,1298285,3265946,805120,2026454,752377,12331,832933
648189,649839,Heartbreak Shot,11164.0,1144428,1146415,4573242,18696,663870,1573641,2007437,241135,1613758,1298285,3265946,805120,2026454,752377,12331,832933
649320,650790,Refulgent Arrow,9072.0,1144428,1146415,4573242,18696,663870,1573641,2007437,241135,1613758,1298285,3275018,805120,2026454,752377,12331,832933
649320,650790,Burst Shot,20277.0,1144428,1146415,4593519,18696,663870,1573641,2007437,241135,1613758,1298285,3275018,805120,2026454,752377,12331,832933
650560,651318,Shot,8399.0,1144428,1146415,4593519,18696,663870,1573641,2007437,241135,1613758,1298285,3275018,805120,2034853,752377,12331,832933
649940,651590,Heartbreak Shot,9014.0,1144428,1146415,4593519,18696,663870,1573641,2016451,241135,1613758,1298285,3275018,805120,2034853,752377,12331,832933
629399,652500,Stormbite (dot),3118.0,1144428,1146415,4593519,18696,663870,1573641,2016451,241135,1613758,1298285,3275018,805120,2034853,752377,12331,836051
629399,652500,Caustic Bite (dot),2493.0,1144428,1146415,4593519,18696,666363,1573641,2016451,241135,1613758,1298285,3275018,805120,2034853,752377,12331,836051
651810,653280,Burst Shot,20255.0,1144428,1146415,4613774,18696,666363,1573641,2016451,241135,1613758,1298285,3275018,805120,2034853,752377,12331,836051
651810,653280,Refulgent Arrow,9099.0,1144428,1146415,4613774,18696,666363,1573641,2016451,241135,1613758,1298285,3284117,805120,2034853,752377,12331,836051
652460,654110,Heartbreak Shot,20160.0,1144428,1146415,4613774,18696,666363,1573641,2036611,241135,1613758,1298285,3284117,805120,2034853,752377,12331,836051
653600,654358,Shot,8399.0,1144428,1146415,4613774,18696,666363,1573641,2036611,241135,1613758,1298285,3284117,805120,2043252,752377,12331,836051
629399,655500,Caustic Bite (dot),2493.0,1144428,1146415,4613774,18696,668856,1573641,2036611,241135,1613758,1298285,3284117,805120,2043252,752377,12331,836051
629399,655500,Stormbite (dot),3118.0,1144428,1146415,4613774,18696,668856,1573641,2036611,241135,1613758,1298285,3284117,805120,2043252,752377,12331,839169
654300,655770,Refulgent Arrow,9099.0,1144428,1146415,4613774,18696,668856,1573641,2036611,241135,1613758,1298285,3293216,805120,2043252,752377,12331,839169
654300,655770,Burst Shot,20255.0,1144428,1146415,4634029,18696,668856,1573641,2036611,241135,1613758,1298285,3293216,805120,2043252,752377,12331,839169
654950,656600,Heartbreak Shot,8911.0,1144428,1146415,4634029,18696,668856,1573641,2045522,241135,1613758,1298285,3293216,805120,2043252,752377,12331,839169
656640,657398,Shot,8399.0,1144428,1146415,4634029,18696,668856,1573641,2045522,241135,1613758,1298285,3293216,805120,2051651,752377,12331,839169
656790,658260,Refulgent Arrow,9120.0,1144428,1146415,4634029,18696,668856,1573641,2045522,241135,1613758,1298285,3302336,805120,2051651,752377,12331,839169
656790,658260,Burst Shot,20238.0,1144428,1146415,4654267,18696,668856,1573641,2045522,241135,1613758,1298285,3302336,805120,2051651,752377,12331,839169
629399,658500,Stormbite (dot),3118.0,1144428,1146415,4654267,18696,668856,1573641,2045522,241135,1613758,1298285,3302336,805120,2051651,752377,12331,842287
629399,658500,Caustic Bite (dot),2493.0,1144428,1146415,4654267,18696,671349,1573641,2045522,241135,1613758,1298285,3302336,805120,2051651,752377,12331,842287
658090,659740,Heartbreak Shot,9036.0,1144428,1146415,4654267,18696,671349,1573641,2054558,241135,1613758,1298285,3302336,805120,2051651,752377,12331,842287
659680,660438,Shot,8399.0,1144428,1146415,4654267,18696,671349,1573641,2054558,241135,1613758,1298285,3302336,805120,2060050,752377,12331,842287
659280,660750,Burst Shot,20397.0,1144428,1146415,4674664,18696,671349,1573641,2054558,241135,1613758,1298285,3302336,805120,2060050,752377,12331,842287
659280,660750,Refulgent Arrow,8918.0,1144428,1146415,4674664,18696,671349,1573641,2054558,241135,1613758,1298285,3311254,805120,2060050,752377,12331,842287
629399,661500,Stormbite (dot),3118.0,1144428,1146415,4674664,18696,671349,1573641,2054558,241135,1613758,1298285,3311254,805120,2060050,752377,12331,845405
629399,661500,Caustic Bite (dot),2493.0,1144428,1146415,4674664,18696,673842,1573641,2054558,241135,1613758,1298285,3311254,805120,2060050,752377,12331,845405
