sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs
443160,443692,Auto,90.0,12124.0,,Default Target,[],10446277.0,"[""Army's Paeon"", 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
437509,445500,Chaotic Spring (dot),45.0,6518.0,,Default Target,[],3001685.0,"['Lance Charge', 'Life of the Dragon', ""Mage's Ballad"", 'Power Surge']"
445009,445629,Raiden Thrust,320.0,46240.0,,Default Target,[],151970003.0,"[""Army's Paeon"", 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
445960,446492,Auto,90.0,12124.0,,Default Target,[],10446277.0,"[""Army's Paeon"", 'Lance Charge', 'Life of the Dragon', 'Power Surge']"
447509,448449,Lance Barrage,340.0,38838.0,,Default Target,[],107215843.0,"[""Army's Paeon"", 'Power Surge']"
437509,448500,Chaotic Spring (dot),45.0,6518.0,,Default Target,[],3001685.0,"['Lance Charge', 'Life of the Dragon', ""Mage's Ballad"", 'Power Surge']"
448760,449292,Auto,90.0,9584.0,,Default Target,[],6528242.0,"[""Army's Paeon"", 'Power Surge']"
450009,450719,Heavens' Thrust,460.0,52546.0,,Default Target,[],196245849.0,"[""Army's Paeon"", 'Power Surge']"
437509,451500,Chaotic Spring (dot),45.0,6518.0,,Default Target,[],3001685.0,"['Lance Charge', 'Life of the Dragon', ""Mage's Ballad"", 'Power Surge']"
451560,452092,Auto,90.0,9584.0,,Default Target,[],6528242.0,"[""Army's Paeon"", 'Power Surge']"
452509,453129,Fang and Claw,340.0,38838.0,,Default Target,[],107215843.0,"[""Army's Paeon"", 'Power Surge']"
437509,454500,Chaotic Spring (dot),45.0,6518.0,,Default Target,[],3001685.0,"['Lance Charge', 'Life of the Dragon', ""Mage's Ballad"", 'Power Surge']"
454360,454892,Auto,90.0,9584.0,,Default Target,[],6528242.0,"[""Army's Paeon"", 'Power Surge']"
455009,455629,Drakesbane,460.0,52546.0,,Default Target,['Fang and Claw'],196245849.0,"[""Army's Paeon"", 'Fang and Claw', 'Power Surge']"
437509,457500,Chaotic Spring (dot),45.0,6518.0,,Default Target,[],3001685.0,"['Lance Charge', 'Life of the Dragon', ""Mage's Ballad"", 'Power Surge']"
457160,457692,Auto,90.0,9584.0,,Default Target,[],6528242.0,"[""Army's Paeon"", 'Power Surge']"
457509,458129,Raiden Thrust,320.0,36553.0,,Default Target,[],94970845.0,"[""Army's Paeon"", 'Power Surge']"
458129,459329,Wyrmwind Thrust,440.0,50262.0,,Default Target,[],179562200.0,"[""Army's Paeon"", 'Power Surge']"
459960,460492,Auto,90.0,9584.0,,Default Target,[],6528242.0,"[""Army's Paeon"", 'Power Surge']"
437509,460500,Chaotic Spring (dot),45.0,6518.0,,Default Target,[],3001685.0,"['Lance Charge', 'Life of the Dragon', ""Mage's Ballad"", 'Power Surge']"
460629,461119,High Jump,400.0,45694.0,,Default Target,[],148405245.0,"[""Army's Paeon"", 'Power Surge']"
460009,461389,Spiral Blow,300.0,34268.0,,Default Target,[],83466129.0,"[""Army's Paeon"", 'Power Surge']"
461429,462229,Mirage Dive,380.0,43407.0,,Default Target,[],133916236.0,"[""Army's Paeon"", 'Power Surge']"
462509,462959,Chaotic Spring,340.0,38838.0,,Default Target,[],107215843.0,"[""Army's Paeon"", 'Power Surge']"
462760,463292,Auto,90.0,9584.0,,Default Target,[],6528242.0,"[""Army's Paeon"", 'Power Surge']"
462509,463500,Chaotic Spring (dot),45.0,5137.0,,Default Target,[],1875291.0,"[""Army's Paeon"", 'Power Surge']"
465009,465629,Wheeling Thrust,340.0,38838.0,,Default Target,[],107215843.0,"[""Army's Paeon"", 'Power Surge']"
465560,466092,Auto,90.0,9584.0,,Default Target,[],6528242.0,"[""Army's Paeon"", 'Power Surge']"
