#use_strict_skill_naming = False
#stats = {"job_class":"DRG","det_stat":2506,"crit_stat":3605,"dh_stat":1982,"tenacity":420,"speed_stat":420,"version":"7.4","level":100,"wd":158,"main_stat":6515}
time,skill_name,job_class,skill_conditional,targets,players_to_buff,overriding_skill_conditional_for_other_players
-3,Elusive Jump,,,,,
-0.8000000000000007,Winged Glide,,,,,
0,True Thrust,,,"Boss0",,
2.500050005000496,Spiral Blow,,,"Boss0",,
4.300050005000493,Grade 4 Gemdraught,,,,,
5.000100010000992,Piercing Talon,,,"Boss0",,
5.620100010000993,Battle Litany,,,,,
6.24010001000099,Lance Charge,,,,,
6.860100010000991,Geirskogul,,,"Boss0",,
7.500150015001491,Chaotic Spring,,,"Boss0",,
8.120150015001496,High Jump,,,"Boss0",,
8.920150015001493,Mirage Dive,,,"Boss0",,
10.00020002000199,Wheeling Thrust,,,"Boss0",,
10.620200020001992,Dragonfire Dive,,,"Boss0",,
11.420200020001992,Life Surge,,,,,
12.500250025002494,Drakesbane,,,"Boss0",,
13.120250025002495,Rise of the Dragon,,,"Boss0",,
13.740250025002492,Nastrond,,,"Boss0",,
15.000300030002993,Raiden Thrust,,,"Boss0",,
15.62030003000299,Stardiver,,,"Boss0",,
17.500350035003493,Lance Barrage,,,"Boss0",,
18.12035003500349,Starcross,,,"Boss0",,
18.740350035003488,Life Surge,,,,,
20.00040004000398,Heavens' Thrust,,,"Boss0",,
22.500450045004484,Fang and Claw,,,"Boss0",,
25.000500050004995,Drakesbane,,,"Boss0",,
27.50055005500549,Raiden Thrust,,,"Boss0",,
28.120550055005488,Wyrmwind Thrust,,,"Boss0",,
30.000600060005986,Spiral Blow,,,"Boss0",,
32.50065006500649,Chaotic Spring,,,"Boss0",,
35.000700070007,Wheeling Thrust,,,"Boss0",,
37.500750075007495,Drakesbane,,,"Boss0",,
38.12075007500749,High Jump,,,"Boss0",,
38.9207500750075,Mirage Dive,,,"Boss0",,
40.000800080008,Raiden Thrust,,,"Boss0",,
42.500850085008494,Lance Barrage,,,"Boss0",,
45.00090009000899,Heavens' Thrust,,,"Boss0",,
47.50095009500949,Fang and Claw,,,"Boss0",,
50.00100010000999,Drakesbane,,,"Boss0",,
52.501050105010506,Raiden Thrust,,,"Boss0",,
55.00110011001101,Spiral Blow,,,"Boss0",,
57.50115011501151,Chaotic Spring,,,"Boss0",,
60.001200120012015,Wheeling Thrust,,,"Boss0",,
62.501250125012504,Drakesbane,,,"Boss0",,
63.121250125012494,Wyrmwind Thrust,,,"Boss0",,
65.001300130013,Raiden Thrust,,,"Boss0",,
66.240100010001,Lance Charge,,,,,
66.860100010001,Geirskogul,,,"Boss0",,
67.50135013501351,Lance Barrage,,,"Boss0",,
68.1213501350135,High Jump,,,"Boss0",,
70.001400140014,Heavens' Thrust,,,"Boss0",,
70.621400140014,Mirage Dive,,,"Boss0",,
72.50145014501452,Fang and Claw,,,"Boss0",,
73.12145014501452,Life Surge,,,,,
73.74145014501453,Nastrond,,,"Boss0",,
75.00150015001502,Drakesbane,,,"Boss0",,
75.62150015001501,Stardiver,,,"Boss0",,
77.5015501550155,Raiden Thrust,,,"Boss0",,
78.1215501550155,Wyrmwind Thrust,,,"Boss0",,
80.001600160016,Spiral Blow,,,"Boss0",,
82.50165016501651,Chaotic Spring,,,"Boss0",,
83.12165016501652,Starcross,,,"Boss0",,
85.00170017001703,Wheeling Thrust,,,"Boss0",,
87.50175017501752,Drakesbane,,,"Boss0",,
90.00180018001802,Raiden Thrust,,,"Boss0",,
92.50185018501853,Lance Barrage,,,"Boss0",,
95.00190019001903,Heavens' Thrust,,,"Boss0",,
97.50195019501955,Fang and Claw,,,"Boss0",,
100.00200020002005,Drakesbane,,,"Boss0",,
