sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Apex Arrow,Blast Arrow,Burst Shot,Caustic Bite,Caustic Bite (dot),Empyreal Arrow,Heartbreak Shot,Iron Jaws,Pitch Perfect,Radiant Encore,Refulgent Arrow,Resonant Arrow,Shot,Sidewinder,Stormbite,Stormbite (dot)
629399,640500,Caustic Bite (dot),2493.0,1071073,1072780,4434906,18696,624591,1496751,1915773,230544,1474160,1166471,3109271,723378,1945154,701285,12331,783829
639359,640829,Burst Shot,20016.0,1071073,1072780,4454922,18696,624591,1496751,1915773,230544,1474160,1166471,3109271,723378,1945154,701285,12331,783829
639359,640829,Refulgent Arrow,9427.0,1071073,1072780,4454922,18696,624591,1496751,1915773,230544,1474160,1166471,3118698,723378,1945154,701285,12331,783829
641440,642198,Shot,8405.0,1071073,1072780,4454922,18696,624591,1496751,1915773,230544,1474160,1166471,3118698,723378,1953559,701285,12331,783829
642499,643299,Pitch Perfect,13988.0,1071073,1072780,4454922,18696,624591,1496751,1915773,230544,1488148,1166471,3118698,723378,1953559,701285,12331,783829
641849,643319,Burst Shot,20559.0,1071073,1072780,4475481,18696,624591,1496751,1915773,230544,1488148,1166471,3118698,723378,1953559,701285,12331,783829
641849,643319,Refulgent Arrow,8736.0,1071073,1072780,4475481,18696,624591,1496751,1915773,230544,1488148,1166471,3127434,723378,1953559,701285,12331,783829
629399,643500,Stormbite (dot),3118.0,1071073,1072780,4475481,18696,624591,1496751,1915773,230544,1488148,1166471,3127434,723378,1953559,701285,12331,786947
629399,643500,Caustic Bite (dot),2493.0,1071073,1072780,4475481,18696,627084,1496751,1915773,230544,1488148,1166471,3127434,723378,1953559,701285,12331,786947
644480,645238,Shot,8405.0,1071073,1072780,4475481,18696,627084,1496751,1915773,230544,1488148,1166471,3127434,723378,1961964,701285,12331,786947
644959,645759,Pitch Perfect,4107.0,1071073,1072780,4475481,18696,627084,1496751,1915773,230544,1492255,1166471,3127434,723378,1961964,701285,12331,786947
644959,645759,Pitch Perfect,14414.0,1071073,1072780,4475481,18696,627084,1496751,1915773,230544,1506669,1166471,3127434,723378,1961964,701285,12331,786947
644959,645759,Pitch Perfect,7656.0,1071073,1072780,4475481,18696,627084,1496751,1915773,230544,1514325,1166471,3127434,723378,1961964,701285,12331,786947
644339,645809,Burst Shot,20266.0,1071073,1072780,4495747,18696,627084,1496751,1915773,230544,1514325,1166471,3127434,723378,1961964,701285,12331,786947
644339,645809,Refulgent Arrow,9109.0,1071073,1072780,4495747,18696,627084,1496751,1915773,230544,1514325,1166471,3136543,723378,1961964,701285,12331,786947
629399,646500,Caustic Bite (dot),2493.0,1071073,1072780,4495747,18696,629577,1496751,1915773,230544,1514325,1166471,3136543,723378,1961964,701285,12331,786947
629399,646500,Stormbite (dot),3118.0,1071073,1072780,4495747,18696,629577,1496751,1915773,230544,1514325,1166471,3136543,723378,1961964,701285,12331,790065
644959,646609,Heartbreak Shot,773.0,1071073,1072780,4495747,18696,629577,1496751,1916546,230544,1514325,1166471,3136543,723378,1961964,701285,12331,790065
645609,647259,Heartbreak Shot,10489.0,1071073,1072780,4495747,18696,629577,1496751,1927035,230544,1514325,1166471,3136543,723378,1961964,701285,12331,790065
647520,648278,Shot,8399.0,1071073,1072780,4495747,18696,629577,1496751,1927035,230544,1514325,1166471,3136543,723378,1970363,701285,12331,790065
646829,648299,Refulgent Arrow,8946.0,1071073,1072780,4495747,18696,629577,1496751,1927035,230544,1514325,1166471,3145489,723378,1970363,701285,12331,790065
646829,648299,Burst Shot,20375.0,1071073,1072780,4516122,18696,629577,1496751,1927035,230544,1514325,1166471,3145489,723378,1970363,701285,12331,790065
647569,648599,Empyreal Arrow,32390.0,1071073,1072780,4516122,18696,629577,1529141,1927035,230544,1514325,1166471,3145489,723378,1970363,701285,12331,790065
629399,649500,Stormbite (dot),3118.0,1071073,1072780,4516122,18696,629577,1529141,1927035,230544,1514325,1166471,3145489,723378,1970363,701285,12331,793183
629399,649500,Caustic Bite (dot),2493.0,1071073,1072780,4516122,18696,632070,1529141,1927035,230544,1514325,1166471,3145489,723378,1970363,701285,12331,793183
648189,649839,Heartbreak Shot,11155.0,1071073,1072780,4516122,18696,632070,1529141,1938190,230544,1514325,1166471,3145489,723378,1970363,701285,12331,793183
649320,650790,Refulgent Arrow,8827.0,1071073,1072780,4516122,18696,632070,1529141,1938190,230544,1514325,1166471,3154316,723378,1970363,701285,12331,793183
649320,650790,Burst Shot,20469.0,1071073,1072780,4536591,18696,632070,1529141,1938190,230544,1514325,1166471,3154316,723378,1970363,701285,12331,793183
650560,651318,Shot,8399.0,1071073,1072780,4536591,18696,632070,1529141,1938190,230544,1514325,1166471,3154316,723378,1978762,701285,12331,793183
649940,651590,Heartbreak Shot,9117.0,1071073,1072780,4536591,18696,632070,1529141,1947307,230544,1514325,1166471,3154316,723378,1978762,701285,12331,793183
629399,652500,Caustic Bite (dot),2493.0,1071073,1072780,4536591,18696,634563,1529141,1947307,230544,1514325,1166471,3154316,723378,1978762,701285,12331,793183
629399,652500,Stormbite (dot),3118.0,1071073,1072780,4536591,18696,634563,1529141,1947307,230544,1514325,1166471,3154316,723378,1978762,701285,12331,796301
651810,653280,Refulgent Arrow,9263.0,1071073,1072780,4536591,18696,634563,1529141,1947307,230544,1514325,1166471,3163579,723378,1978762,701285,12331,796301
651810,653280,Burst Shot,20126.0,1071073,1072780,4556717,18696,634563,1529141,1947307,230544,1514325,1166471,3163579,723378,1978762,701285,12331,796301
652460,654110,Heartbreak Shot,20033.0,1071073,1072780,4556717,18696,634563,1529141,1967340,230544,1514325,1166471,3163579,723378,1978762,701285,12331,796301
653600,654358,Shot,8399.0,1071073,1072780,4556717,18696,634563,1529141,1967340,230544,1514325,1166471,3163579,723378,1987161,701285,12331,796301
629399,655500,Stormbite (dot),3118.0,1071073,1072780,4556717,18696,634563,1529141,1967340,230544,1514325,1166471,3163579,723378,1987161,701285,12331,799419
629399,655500,Caustic Bite (dot),2493.0,1071073,1072780,4556717,18696,637056,1529141,1967340,230544,1514325,1166471,3163579,723378,1987161,701285,12331,799419
654300,655770,Refulgent Arrow,8887.0,1071073,1072780,4556717,18696,637056,1529141,1967340,230544,1514325,1166471,3172466,723378,1987161,701285,12331,799419
654300,655770,Burst Shot,20422.0,1071073,1072780,4577139,18696,637056,1529141,1967340,230544,1514325,1166471,3172466,723378,1987161,701285,12331,799419
654950,656600,Heartbreak Shot,9173.0,1071073,1072780,4577139,18696,637056,1529141,1976513,230544,1514325,1166471,3172466,723378,1987161,701285,12331,799419
656640,657398,Shot,8399.0,1071073,1072780,4577139,18696,637056,1529141,1976513,230544,1514325,1166471,3172466,723378,1995560,701285,12331,799419
656790,658260,Refulgent Arrow,9103.0,1071073,1072780,4577139,18696,637056,1529141,1976513,230544,1514325,1166471,3181569,723378,1995560,701285,12331,799419
656790,658260,Burst Shot,20252.0,1071073,1072780,4597391,18696,637056,1529141,1976513,230544,1514325,1166471,3181569,723378,1995560,701285,12331,799419
629399,658500,Caustic Bite (dot),2493.0,1071073,1072780,4597391,18696,639549,1529141,1976513,230544,1514325,1166471,3181569,723378,1995560,701285,12331,799419
629399,658500,Stormbite (dot),3118.0,1071073,1072780,4597391,18696,639549,1529141,1976513,230544,1514325,1166471,3181569,723378,1995560,701285,12331,802537
658090,659740,Heartbreak Shot,8696.0,1071073,1072780,4597391,18696,639549,1529141,1985209,230544,1514325,1166471,3181569,723378,1995560,701285,12331,802537
659680,660438,Shot,8399.0,1071073,1072780,4597391,18696,639549,1529141,1985209,230544,1514325,1166471,3181569,723378,2003959,701285,12331,802537
659280,660750,Burst Shot,20526.0,1071073,1072780,4617917,18696,639549,1529141,1985209,230544,1514325,1166471,3181569,723378,2003959,701285,12331,802537
659280,660750,Refulgent Arrow,8754.0,1071073,1072780,4617917,18696,639549,1529141,1985209,230544,1514325,1166471,3190323,723378,2003959,701285,12331,802537
629399,661500,Caustic Bite (dot),2493.0,1071073,1072780,4617917,18696,642042,1529141,1985209,230544,1514325,1166471,3190323,723378,2003959,701285,12331,802537
629399,661500,Stormbite (dot),3118.0,1071073,1072780,4617917,18696,642042,1529141,1985209,230544,1514325,1166471,3190323,723378,2003959,701285,12331,805655
659900,661550,Heartbreak Shot,11462.0,1071073,1072780,4617917,18696,642042,1529141,1996671,230544,1514325,1166471,3190323,723378,2003959,701285,12331,805655
661770,663240,Burst Shot,20400.0,1071073,1072780,4638317,18696,642042,1529141,1996671,230544,1514325,1166471,3190323,723378,2003959,701285,12331,805655
661770,663240,Refulgent Arrow,8915.0,1071073,1072780,4638317,18696,642042,1529141,1996671,230544,1514325,1166471,3199238,723378,2003959,701285,12331,805655
662720,663478,Shot,8399.0,1071073,1072780,4638317,18696,642042,1529141,1996671,230544,1514325,1166471,3199238,723378,2012358,701285,12331,805655
662569,663599,Empyreal Arrow,32390.0,1071073,1072780,4638317,18696,642042,1561531,1996671,230544,1514325,1166471,3199238,723378,2012358,701285,12331,805655
629399,664500,Stormbite (dot),3118.0,1071073,1072780,4638317,18696,642042,1561531,1996671,230544,1514325,1166471,3199238,723378,2012358,701285,12331,808773
629399,664500,Caustic Bite (dot),2493.0,1071073,1072780,4638317,18696,644535,1561531,1996671,230544,1514325,1166471,3199238,723378,2012358,701285,12331,808773
663189,664839,Heartbreak Shot,20046.0,1071073,1072780,4638317,18696,644535,1561531,2016717,230544,1514325,1166471,3199238,723378,2012358,701285,12331,808773
664260,665730,Burst Shot,20197.0,1071073,1072780,4658514,18696,644535,1561531,2016717,230544,1514325,1166471,3199238,723378,2012358,701285,12331,808773
664260,665730,Refulgent Arrow,9173.0,1071073,1072780,4658514,18696,644535,1561531,2016717,230544,1514325,1166471,3208411,723378,2012358,701285,12331,808773
665760,666518,Shot,8399.0,1071073,1072780,4658514,18696,644535,1561531,2016717,230544,1514325,1166471,3208411,723378,2020757,701285,12331,808773
664910,666560,Heartbreak Shot,8911.0,1071073,1072780,4658514,18696,644535,1561531,2025628,230544,1514325,1166471,3208411,723378,2020757,701285,12331,808773
629399,667500,Stormbite (dot),3118.0,1071073,1072780,4658514,18696,644535,1561531,2025628,230544,1514325,1166471,3208411,723378,2020757,701285,12331,811891
629399,667500,Caustic Bite (dot),2493.0,1071073,1072780,4658514,18696,647028,1561531,2025628,230544,1514325,1166471,3208411,723378,2020757,701285,12331,811891
666750,668220,Burst Shot,20411.0,1071073,1072780,4678925,18696,647028,1561531,2025628,230544,1514325,1166471,3208411,723378,2020757,701285,12331,811891
666750,668220,Refulgent Arrow,8901.0,1071073,1072780,4678925,18696,647028,1561531,2025628,230544,1514325,1166471,3217312,723378,2020757,701285,12331,811891
667370,669020,Heartbreak Shot,20143.0,1071073,1072780,4678925,18696,647028,1561531,2045771,230544,1514325,1166471,3217312,723378,2020757,701285,12331,811891
668800,669558,Shot,8399.0,1071073,1072780,4678925,18696,647028,1561531,2045771,230544,1514325,1166471,3217312,723378,2029156,701285,12331,811891
669240,670310,Apex Arrow,40683.0,1111756,1072780,4678925,18696,647028,1561531,2045771,230544,1514325,1166471,3217312,723378,2029156,701285,12331,811891
669240,670310,Apex Arrow,13.0,1111769,1072780,4678925,18696,647028,1561531,2045771,230544,1514325,1166471,3217312,723378,2029156,701285,12331,811891
669240,670310,Apex Arrow,7622.0,1119391,1072780,4678925,18696,647028,1561531,2045771,230544,1514325,1166471,3217312,723378,2029156,701285,12331,811891
669240,670310,Apex Arrow,6411.0,1125802,1072780,4678925,18696,647028,1561531,2045771,230544,1514325,1166471,3217312,723378,2029156,701285,12331,811891
669240,670310,Apex Arrow,4434.0,1130236,1072780,4678925,18696,647028,1561531,2045771,230544,1514325,1166471,3217312,723378,2029156,701285,12331,811891
669240,670310,Apex Arrow,198.0,1130434,1072780,4678925,18696,647028,1561531,2045771,230544,1514325,1166471,3217312,723378,2029156,701285,12331,811891
669240,670310,Apex Arrow,2405.0,1132839,1072780,4678925,18696,647028,1561531,2045771,230544,1514325,1166471,3217312,723378,2029156,701285,12331,811891
669240,670310,Apex Arrow,8468.0,1141307,1072780,4678925,18696,647028,1561531,2045771,230544,1514325,1166471,3217312,723378,2029156,701285,12331,811891
669240,670310,Apex Arrow,62.0,1141369,1072780,4678925,18696,647028,1561531,2045771,230544,1514325,1166471,3217312,723378,2029156,701285,12331,811891
669240,670310,Apex Arrow,8346.0,1149715,1072780,4678925,18696,647028,1561531,2045771,230544,1514325,1166471,3217312,723378,2029156,701285,12331,811891
669240,670310,Apex Arrow,935.0,1150650,1072780,4678925,18696,647028,1561531,2045771,230544,1514325,1166471,3217312,723378,2029156,701285,12331,811891
629399,670500,Stormbite (dot),3118.0,1150650,1072780,4678925,18696,647028,1561531,2045771,230544,1514325,1166471,3217312,723378,2029156,701285,12331,815009
629399,670500,Caustic Bite (dot),2493.0,1150650,1072780,4678925,18696,649521,1561531,2045771,230544,1514325,1166471,3217312,723378,2029156,701285,12331,815009
669890,671540,Heartbreak Shot,9016.0,1150650,1072780,4678925,18696,649521,1561531,2054787,230544,1514325,1166471,3217312,723378,2029156,701285,12331,815009
671840,672598,Shot,8399.0,1150650,1072780,4678925,18696,649521,1561531,2054787,230544,1514325,1166471,3217312,723378,2037555,701285,12331,815009
672589,673119,Sidewinder,49833.0,1150650,1072780,4678925,18696,649521,1561531,2054787,230544,1514325,1166471,3217312,723378,2037555,751118,12331,815009
671730,673200,Burst Shot,2606.0,1150650,1072780,4681531,18696,649521,1561531,2054787,230544,1514325,1166471,3217312,723378,2037555,751118,12331,815009
671730,673200,Refulgent Arrow,1185.0,1150650,1072780,4681531,18696,649521,1561531,2054787,230544,1514325,1166471,3218497,723378,2037555,751118,12331,815009
671730,673380,Blast Arrow,75951.0,1150650,1148731,4681531,18696,649521,1561531,2054787,230544,1514325,1166471,3218497,723378,2037555,751118,12331,815009
