sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs
5040,5572,Auto,90.0,9898.0,,Default Target,[],6851445.0,"['Fugetsu', 'Fuka', 'Grade 4 Gemdraught']"
5160,5692,Auto,90.0,0.0,,Default Target,[],0.0,"['Enochian', 'Grade 4 Gemdraught', 'Ley Lines']"
5795,5795,Inner Release,,,,,,,[]
4660,5820,Fire IV,300.0,86475.0,,Default Target,['3 Astral Fire'],230834749.0,"['Enochian', 'Grade 4 Gemdraught', 'Ley Lines']"
5430,6188,Shot,80.0,7847.0,,Default Target,[],4329995.0,['Grade 4 Gemdraught']
6420,6420,Grade 4 Gemdraught,,,,,,,[]
5841,6511,Dosis III,380.0,53462.0,,Default Target,[],172533440.0,['Grade 4 Gemdraught']
6000,6578,Royal Authority,460.0,39718.0,,Default Target,[],104863158.0,['Grade 4 Gemdraught']
6625,6625,Fight or Flight,,,,,,,[]
5170,6819,Storm's Eye,500.0,40431.0,,Default Target,[],108662410.0,[]
6972,6972,Grade 4 Gemdraught,,,,,,,[]
7122,7122,Automaton Queen,,,,,,,[]
6701,7233,Auto,90.0,22.0,,Default Target,[],29.0,"['Chain Stratagem', 'Grade 4 Gemdraught']"
6757,7289,Auto,90.0,9419.0,,Default Target,['Surging Tempest'],6182100.0,"['Chain Stratagem', 'Surging Tempest']"
6352,7332,Hunter's Coil,620.0,66435.0,,Default Target,[],325398900.0,"['Chain Stratagem', 'Swiftscaled']"
-200,7500,Biolysis (dot),85.0,11258.0,,Default Target,[],7771012.0,[]
940,7500,Eukrasian Dosis III (dot),85.0,12172.0,,Default Target,[],8943404.0,['Grade 4 Gemdraught']
1050,7500,Thunder (dot),60.0,10027.0,,Default Target,[],3103341.0,['Enochian']
6978,7510,Auto,90.0,6075.0,,Default Target,[],2571704.0,"['Chain Stratagem', 'Grade 4 Gemdraught']"
6502,7572,Excavator,660.0,93061.0,,Default Target,[],638578508.0,"['Chain Stratagem', 'Grade 4 Gemdraught']"
6490,7650,Fire IV,300.0,90249.0,,Default Target,['3 Astral Fire'],337649736.0,"['Chain Stratagem', 'Enochian', 'Grade 4 Gemdraught', 'Ley Lines']"
7210,7742,Auto,90.0,9314.0,,Default Target,[],6396104.0,"['Chain Stratagem', ""Hunter's Instinct"", 'Swiftscaled']"
7742,7742,Reassemble,,,,,,,[]
7322,7992,Phlegma III,600.0,88909.0,,Default Target,[],510944551.0,"['Chain Stratagem', 'Grade 4 Gemdraught']"
7041,8071,Tendo Setsugekka,1100.0,200349.0,,Default Target,[],468535391.0,"['Chain Stratagem', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']"
7541,8073,Auto,90.0,10428.0,,Default Target,[],7947611.0,"['Chain Stratagem', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']"
7592,8212,Twinfang Bite,170.0,20035.0,,Default Target,[],29596869.0,"['Chain Stratagem', ""Hunter's Instinct"", 'Swiftscaled']"
7831,8501,Hissatsu: Senei,800.0,104214.0,,Default Target,[],793896814.0,"['Chain Stratagem', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']"
7250,8540,Imperator,580.0,65949.0,,Default Target,[],303087202.0,"['Chain Stratagem', 'Fight or Flight', 'Grade 4 Gemdraught']"
7670,8607,Inner Chaos,660.0,116427.0,,Default Target,['Surging Tempest'],11294680.0,"['Chain Stratagem', 'Grade 4 Gemdraught', 'Surging Tempest']"
7940,8740,Broil IV,320.0,46696.0,,Default Target,[],142760973.0,"['Chain Stratagem', 'Grade 4 Gemdraught']"
8070,8828,Shot,80.0,8266.0,,Default Target,[],5037777.0,"['Chain Stratagem', 'Grade 4 Gemdraught']"
8212,8882,Twinblood Bite,170.0,21690.0,,Default Target,[],34686903.0,"['Chain Stratagem', 'Grade 4 Gemdraught', ""Hunter's Instinct"", 'Swiftscaled']"
8295,8918,Upheaval,420.0,42577.0,,Default Target,['Surging Tempest'],126332394.0,"['Chain Stratagem', 'Grade 4 Gemdraught', 'Surging Tempest']"
8440,8972,Auto,90.0,231.0,,Default Target,[],3493.0,"['Chain Stratagem', 'Grade 4 Gemdraught']"
8500,9034,Goring Blade,700.0,79593.0,,Default Target,[],441477101.0,"['Chain Stratagem', 'Fight or Flight', 'Grade 4 Gemdraught']"
7942,9042,Psyche,600.0,88909.0,,Default Target,[],510944551.0,"['Chain Stratagem', 'Grade 4 Gemdraught']"
9191,9191,Meikyo Shisui,,,,,,,[]
8820,9352,Auto,90.0,0.0,,Default Target,[],0.0,"['Chain Stratagem', 'Enochian', 'Grade 4 Gemdraught', 'Ley Lines']"
8320,9480,Fire IV,300.0,90249.0,,Default Target,['3 Astral Fire'],337649736.0,"['Chain Stratagem', 'Enochian', 'Grade 4 Gemdraught', 'Ley Lines']"
8902,9522,Swiftskin's Coil,620.0,79123.0,,Default Target,[],461560825.0,"['Chain Stratagem', 'Grade 4 Gemdraught', ""Hunter's Instinct"", 'Swiftscaled']"
8920,9587,Onslaught,150.0,15202.0,,Default Target,['Surging Tempest'],16104006.0,"['Chain Stratagem', 'Grade 4 Gemdraught', 'Surging Tempest']"
8571,9601,Tendo Kaeshi Setsugekka,1100.0,200349.0,,Default Target,[],468535391.0,"['Chain Stratagem', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']"
8543,9613,Energy Drain,100.0,14604.0,,Default Target,[],13963319.0,"['Chain Stratagem', 'Grade 4 Gemdraught']"
9218,9750,Auto,90.0,7594.0,,Default Target,[],4018166.0,"['Chain Stratagem', 'Fight or Flight', 'Grade 4 Gemdraught']"
9450,9982,Auto,90.0,10087.0,,Default Target,[],7502542.0,"['Chain Stratagem', 'Grade 4 Gemdraught', ""Hunter's Instinct"", 'Swiftscaled']"
9501,10033,Auto,90.0,22.0,,Default Target,[],29.0,"['Chain Stratagem', 'Grade 4 Gemdraught']"
9125,10148,Circle of Scorn,140.0,15909.0,,Default Target,[],17635306.0,"['Chain Stratagem', 'Fight or Flight', 'Grade 4 Gemdraught']"
9002,10152,Drill,660.0,161731.0,,Default Target,['Reassemble'],21799856.0,"['Chain Stratagem', 'Grade 4 Gemdraught', 'Reassemble']"
9522,10192,Twinblood Bite,170.0,21690.0,,Default Target,[],34686903.0,"['Chain Stratagem', 'Grade 4 Gemdraught', ""Hunter's Instinct"", 'Swiftscaled']"
9622,10332,Checkmate,180.0,25376.0,,Default Target,[],47482437.0,"['Chain Stratagem', 'Grade 4 Gemdraught']"
9831,10363,Auto,90.0,10428.0,,Default Target,[],7947611.0,"['Chain Stratagem', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']"
10382,10382,Druochole,,,,,,,[]
9762,10432,Phlegma III,600.0,88909.0,,Default Target,[],510944551.0,"['Chain Stratagem', 'Grade 4 Gemdraught']"
-200,10500,Biolysis (dot),85.0,11258.0,,Default Target,[],7771012.0,[]
940,10500,Eukrasian Dosis III (dot),85.0,12172.0,,Default Target,[],8943404.0,['Grade 4 Gemdraught']
1050,10500,Thunder (dot),60.0,10027.0,,Default Target,[],3103341.0,['Enochian']
9125,10500,Circle of Scorn (dot),30.0,3405.0,,Default Target,[],807690.0,"['Chain Stratagem', 'Fight or Flight', 'Grade 4 Gemdraught']"
10117,10649,Auto,90.0,10193.0,,Default Target,['Surging Tempest'],7239938.0,"['Chain Stratagem', 'Grade 4 Gemdraught', 'Surging Tempest']"
10142,10762,Twinfang Bite,170.0,21690.0,,Default Target,[],34686903.0,"['Chain Stratagem', 'Grade 4 Gemdraught', ""Hunter's Instinct"", 'Swiftscaled']"
10170,10793,Fell Cleave,580.0,102312.0,,Default Target,['Surging Tempest'],8722780.0,"['Chain Stratagem', 'Grade 4 Gemdraught', 'Inner Release', 'Surging Tempest']"
9811,10841,Zanshin,940.0,122451.0,,Default Target,[],1096064787.0,"['Chain Stratagem', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']"
