sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Apex Arrow,Blast Arrow,Burst Shot,Caustic Bite,Caustic Bite (dot),Empyreal Arrow,Heartbreak Shot,Iron Jaws,Pitch Perfect,Radiant Encore,Refulgent Arrow,Resonant Arrow,Shot,Sidewinder,Stormbite,Stormbite (dot)
430946,432416,Burst Shot,13401.0,655319,653661,3018853,18696,441724,1021451,1362003,165444,1051203,783206,2145214,501744,1322804,463095,12331,555159
431680,432438,Shot,8399.0,655319,653661,3018853,18696,441724,1021451,1362003,165444,1051203,783206,2145214,501744,1331203,463095,12331,555159
432423,432953,Sidewinder,49833.0,655319,653661,3018853,18696,441724,1021451,1362003,165444,1051203,783206,2145214,501744,1331203,512928,12331,555159
428456,433500,Caustic Bite (dot),2491.0,655319,653661,3018853,18696,444215,1021451,1362003,165444,1051203,783206,2145214,501744,1331203,512928,12331,555159
428456,433500,Stormbite (dot),3115.0,655319,653661,3018853,18696,444215,1021451,1362003,165444,1051203,783206,2145214,501744,1331203,512928,12331,558274
433436,434506,Apex Arrow,4473.0,659792,653661,3018853,18696,444215,1021451,1362003,165444,1051203,783206,2145214,501744,1331203,512928,12331,558274
433436,434506,Apex Arrow,69210.0,729002,653661,3018853,18696,444215,1021451,1362003,165444,1051203,783206,2145214,501744,1331203,512928,12331,558274
433436,434506,Apex Arrow,1360.0,730362,653661,3018853,18696,444215,1021451,1362003,165444,1051203,783206,2145214,501744,1331203,512928,12331,558274
433436,434506,Apex Arrow,542.0,730904,653661,3018853,18696,444215,1021451,1362003,165444,1051203,783206,2145214,501744,1331203,512928,12331,558274
433436,434506,Apex Arrow,128.0,731032,653661,3018853,18696,444215,1021451,1362003,165444,1051203,783206,2145214,501744,1331203,512928,12331,558274
433436,434506,Apex Arrow,5.0,731037,653661,3018853,18696,444215,1021451,1362003,165444,1051203,783206,2145214,501744,1331203,512928,12331,558274
433436,434506,Apex Arrow,2705.0,733742,653661,3018853,18696,444215,1021451,1362003,165444,1051203,783206,2145214,501744,1331203,512928,12331,558274
433436,434506,Apex Arrow,6818.0,740560,653661,3018853,18696,444215,1021451,1362003,165444,1051203,783206,2145214,501744,1331203,512928,12331,558274
433436,434506,Apex Arrow,34.0,740594,653661,3018853,18696,444215,1021451,1362003,165444,1051203,783206,2145214,501744,1331203,512928,12331,558274
434056,435086,Empyreal Arrow,32390.0,740594,653661,3018853,18696,444215,1053841,1362003,165444,1051203,783206,2145214,501744,1331203,512928,12331,558274
434720,435478,Shot,8399.0,740594,653661,3018853,18696,444215,1053841,1362003,165444,1051203,783206,2145214,501744,1339602,512928,12331,558274
