sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs
713550,714170,Fan Dance,180.0,2499.0,0.107,Default Target,[],38148053.0,['Standard Finish']
713550,714170,Fan Dance III,220.0,508.0,0.0178,Default Target,[],57006898.0,['Standard Finish']
714200,714820,Fan Dance,180.0,415.0,0.0178,Default Target,[],38148053.0,['Standard Finish']
714410,715168,Auto,90.0,10105.0,,Default Target,[],7137523.0,['Standard Finish']
715400,715840,Saber Dance,540.0,10921.0,0.1558,Default Target,[],343515366.0,['Standard Finish']
715400,716020,Reverse Cascade,280.0,5182.0,0.1426,Default Target,[],92327414.0,['Standard Finish']
715400,716200,Cascade,220.0,8021.0,0.2809,Default Target,[],57006898.0,['Standard Finish']
715400,716380,Fountain,280.0,10103.0,0.278,Default Target,[],92327414.0,['Standard Finish']
715400,716610,Fountainfall,340.0,6297.0,0.1427,Default Target,[],136159829.0,['Standard Finish']
716050,716670,Fan Dance III,220.0,839.0,0.0294,Default Target,[],57006898.0,['Standard Finish']
716050,716670,Fan Dance,180.0,2394.0,0.1025,Default Target,[],38148053.0,['Standard Finish']
716700,717320,Fan Dance,180.0,686.0,0.0294,Default Target,[],38148053.0,['Standard Finish']
717530,718288,Auto,90.0,10105.0,,Default Target,[],7137523.0,['Standard Finish']
717900,718340,Saber Dance,540.0,8495.0,0.1212,Default Target,[],343515366.0,['Standard Finish']
717900,718520,Reverse Cascade,280.0,5284.0,0.1454,Default Target,[],92327414.0,['Standard Finish']
717900,718700,Cascade,220.0,8700.0,0.3047,Default Target,[],57006898.0,['Standard Finish']
717900,718880,Fountain,280.0,10626.0,0.2924,Default Target,[],92327414.0,['Standard Finish']
717900,719110,Fountainfall,340.0,6015.0,0.1363,Default Target,[],136159829.0,['Standard Finish']
718550,719170,Fan Dance III,220.0,902.0,0.0316,Default Target,[],57006898.0,['Standard Finish']
718550,719170,Fan Dance,180.0,2427.0,0.1039,Default Target,[],38148053.0,['Standard Finish']
719200,719820,Fan Dance,180.0,738.0,0.0316,Default Target,[],38148053.0,['Standard Finish']
720650,721408,Auto,90.0,10105.0,,Default Target,[],7137523.0,['Standard Finish']
721525,721525,Grade 4 Gemdraught,,,,,,,[]
723770,724528,Auto,90.0,10937.0,,Default Target,[],8361154.0,"['Grade 4 Gemdraught', 'Standard Finish']"
726400,726935,Quadruple Technical Finish,1300.0,182613.0,,Default Target,[],2331284466.0,"['Grade 4 Gemdraught', 'Standard Finish']"
727025,727025,Devilment,,,,,,,[]
726890,727648,Auto,90.0,10937.0,,Default Target,[],8361154.0,"['Grade 4 Gemdraught', 'Standard Finish']"
728525,728525,Flourish,,,,,,,[]
727900,728740,Tillana,600.0,37401.0,0.365,Default Target,[],753328406.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
727900,728790,Starfall Dance,600.0,47408.0,0.2646,Default Target,[],26754560.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
729150,729770,Fan Dance III,220.0,37565.0,1.0,Default Target,[],101240481.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
727900,730260,Dance of the Dawn,1000.0,63258.0,0.3704,Default Target,[],2092540119.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
730010,730768,Auto,90.0,13297.0,,Default Target,[],12684086.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
731025,731345,Fan Dance IV,460.0,55241.0,0.7032,Default Target,[],442748095.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
731025,731645,Fan Dance III,220.0,11149.0,0.2968,Default Target,[],101240481.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
730400,731650,Last Dance,540.0,92216.0,1.0,Default Target,[],610073688.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
731650,731970,Fan Dance IV,460.0,23315.0,0.2968,Default Target,[],442748095.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
731650,732270,Fan Dance,180.0,21557.0,0.7014,Default Target,[],67767966.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
732900,733340,Saber Dance,540.0,1964.0,0.0213,Default Target,[],610073688.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
732900,733740,Tillana,600.0,10667.0,0.1041,Default Target,[],753328406.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
732900,733790,Starfall Dance,600.0,43897.0,0.245,Default Target,[],26754560.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
733130,733888,Auto,90.0,13297.0,,Default Target,[],12684086.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
732900,734110,Fountainfall,340.0,894.0,0.0154,Default Target,[],241833466.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
733525,734145,Fan Dance,180.0,19722.0,0.6417,Default Target,[],67767966.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
733525,734145,Fan Dance III,220.0,13181.0,0.3509,Default Target,[],101240481.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
734150,734770,Fan Dance III,220.0,11990.0,0.3192,Default Target,[],101240481.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
734150,734770,Fan Dance,180.0,20269.0,0.6595,Default Target,[],67767966.0,"['Devilment', 'Grade 4 Gemdraught', 'Standard Finish', 'Technical Finish']"
