sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,607,40197.39,231.841,43814.438,424.966,173990,32881465,318925
Fire IV,156,82362.885,62.361,17120.728,250.397,46800,12848610,187916
Xenoglossy,31,145616.161,36.764,6015.024,215.503,27590,4514101,161729
Flare Star,26,138409.885,17.322,4795.198,174.388,13000,3598657,130873
Paradox,44,81044.659,31.66,4751.636,128.315,23760,3565965,96297
Thunder (dot),243,10392.634,19.428,3365.1,40.077,14580,2525410,30077
Despair,26,95921.154,12.126,3323.18,119.989,9100,2493950,90048
Fire III,20,59295.7,7.728,1580.226,63.194,5800,1185914,47425
Blizzard IV,18,44387.0,7.195,1064.619,44.088,5400,798966,33087
Blizzard III,18,43012.167,6.956,1031.644,42.724,5220,774219,32063
High Thunder,25,23026.92,4.997,767.082,28.511,3750,575673,21397
